Industry,Tickers
Automobile and Auto Components,"ARE&M, APOLLOTYRE, ASAHIINDIA, BAJAJ-AUTO, BALKRISIND, BHARATFORG, BOSCHLTD, CIEINDIA, CEATLTD, CRAFTSMAN, EICHERMOT, ENDURANCE, EXIDEIND, HBLENGINE, HEROMOTOCO, JBMA, JKTYRE, MRF, M&M, MARUTI, MINDACORP, MSUMI, OLECTRA, RKFORGE, MOTHERSON, SCHAEFFLER, SONACOMS, SUNDRMFAST, TVSMOTOR, TATAMOTORS, TIINDIA, UNOMINDA, VARROC, ZFCVINDIA"
Capital Goods,"ABB, AIAENG, APLAPOLLO, ACE, APARINDS, ASHOKLEY, ASTRAL, BEML, BDL, BEL, BHEL, CGPOWER, CARBORUNIV, COCHINSHIP, CUMMINSIND, DATAPATTNS, ELECON, ELGIEQUIP, ESCORTS, FINCABLES, FINPIPE, GVT&D, GRSE, GPIL, GRAPHITE, GRINDWELL, HEG, HAL, POWERINDIA, HONAUT, INOXINDIA, INOXWIND, JINDALSAW, JWL, JYOTICNC, KEI, KSB, KAYNES, KIRLOSBROS, KIRLOSENG, MAHSEAMLES, MAZDOCK, PTCIL, POLYCAB, PRAJIND, RRKABEL, RHIM, RATNAMANI, SKFINDIA, SCHNEIDER, SHYAMMETL, SIEMENS, SUPREMEIND, SUZLON, SYRMA, THERMAX, TIMKEN, TITAGARH, TRITURBINE, USHAMART, WELCORP"
Chemicals,"AARTIIND, ALKYLAMINE, ACI, ATUL, BASF, BALAMINES, BAYERCROP, CHAMBLFERT, CHEMPLASTS, CLEAN, COROMANDEL, DEEPAKFERT, DEEPAKNTR, EIDPARRY, FACT, FINEORG, FLUOROCHEM, GNFC, GSFC, HSCL, JUBLINGREA, LINDEINDIA, NAVINFLUOR, PCBL, PIIND, PIDILITIND, RCF, SRF, SOLARINDS, SUMICHEM, TATACHEM, UPL, VINATIORGA"
Construction,"ENGINERSIN, GRINFRA, IRB, IRCON, KNRCON, KPIL, KEC, LT, NBCC, NCC, PNCINFRA, RITES, RVNL, SWSOLAR, TECHNOE"
Construction Materials,"ACC, AMBUJACEM, BIRLACORPN, DALBHARAT, GRASIM, INDIACEM, JKCEMENT, JKLAKSHMI, NUVOCO, SHREECEM, RAMCOCEM, ULTRACEMCO"
Consumer Durables,"AMBER, ASIANPAINT, BATAINDIA, BERGEPAINT, BLUESTARCO, CAMPUS, CELLO, CENTURYPLY, CERA, CROMPTON, DIXON, HAVELLS, KAJARIACER, KALYANKJIL, KANSAINER, METROBRAND, RAJESHEXPO, TITAN, VGUARD, VIPIND, VOLTAS, WHIRLPOOL"
Consumer Services,"ABFRL, DMART, BLS, CHALET, DEVYANI, DUMMYITC, EIHOTEL, EASEMYTRIP, NYKAA, INDIAMART, INDHOTEL, IRCTC, NAUKRI, JUBLFOOD, JUSTDIAL, LEMONTREE, RTNINDIA, SAPPHIRE, TBOTEK, TRENT, MANYAVAR, WESTLIFE, ZOMATO"
Diversified,"3MINDIA, GODREJIND, SWANENERGY"
Fast Moving Consumer Goods,"AWL, AVANTIFEED, BALRAMCHIN, BIKAJI, BBTC, BRITANNIA, CCL, COLPAL, DOMS, DABUR, EMAMILTD, GILLETTE, GODFRYPHLP, GODREJAGRO, GODREJCP, GAEL, HINDUNILVR, HONASA, ITC, JYOTHYLAB, MARICO, NESTLEIND, PATANJALI, PGHH, RADICO, RENUKA, TATACONSUM, TRIVENI, UBL, UNITDSPR, VBL"
Financial Services,"360ONE, AUBANK, AADHARHFC, AAVAS, ABCAPITAL, ABSLAMC, ANANDRATHI, ANGELONE, APTUS, AXISBANK, BSE, BAJFINANCE, BAJAJFINSV, BAJAJHLDNG, BANDHANBNK, BANKBARODA, BANKINDIA, MAHABANK, CRISIL, CANFINHOME, CANBK, CGCL, CENTRALBK, CDSL, CHOLAHLDNG, CHOLAFIN, CUB, CAMS, CREDITACC, EQUITASBNK, FEDERALBNK, FIVESTAR, GICRE, GODIGIT, HDFCAMC, HDFCBANK, HDFCLIFE, HOMEFIRST, HUDCO, ICICIBANK, ICICIGI, ICICIPRULI, ISEC, IDBI, IDFCFIRSTB, IFCI, IIFL, INDIANB, IEX, IOB, IRFC, IREDA, INDUSINDBK, JMFINANCIL, J&KBANK, JIOFIN, KARURVYSYA, KFINTECH, KOTAKBANK, LTF, LICHSGFIN, LICI, M&MFIN, MANAPPURAM, MFSL, MOTILALOFS, MCX, MUTHOOTFIN, NAM-INDIA, NUVAMA, PAYTM, POLICYBZR, PNBHOUSING, PEL, POONAWALLA, PFC, PNB, RBLBANK, RECLTD, SBFC, SBICARD, SBILIFE, SAMMAANCAP, SHRIRAMFIN, STARHEALTH, SBIN, SUNDARMFIN, TATAINVEST, NIACL, UCOBANK, UTIAMC, UJJIVANSFB, UNIONBANK, YESBANK"
Forest Materials,ABREL
Healthcare,"ABBOTINDIA, AJANTPHARM, AKUMS, APLLTD, ALKEM, APOLLOHOSP, ASTERDM, ASTRAZEN, AUROPHARMA, BIOCON, CAPLIPOINT, CIPLA, CONCORDBIO, DIVISLAB, LALPATHLAB, DRREDDY, EMCURE, ERIS, FORTIS, GLAND, GLAXO, GLENMARK, MEDANTA, GRANULES, INDGN, IPCALAB, JBCHEPHARM, JUBLPHARMA, KIMS, LAURUSLABS, LUPIN, MANKIND, MAXHEALTH, METROPOLIS, NATCOPHARM, NH, PFIZER, PPLPHARMA, POLYMED, RAINBOW, SANOFI, SPARC, SUNPHARMA, SUVENPHAR, SYNGENE, TORNTPHARM, VIJAYA, ZYDUSLIFE"
Information Technology,"AFFLE, BSOFT, MAPMYINDIA, COFORGE, CYIENT, HCLTECH, HAPPSTMNDS, INFY, INTELLECT, KPITTECH, LTTS, LTIM, LATENTVIEW, MASTEK, MPHASIS, NETWEB, NEWGEN, OFSS, PERSISTENT, SONATSOFTW, TANLA, TCS, TATAELXSI, TATATECH, TECHM, WIPRO, ZENSARTECH"
Media Entertainment & Publication,"NETWORK18, PVRINOX, SAREGAMA, SUNTV, ZEEL"
Metals & Mining,"ADANIENT, GMDCLTD, HINDALCO, HINDCOPPER, HINDZINC, JSWSTEEL, JSL, JINDALSTEL, LLOYDSME, NMDC, NSLNISP, NATIONALUM, SAIL, TATASTEEL, VEDL"
Oil Gas & Consumable Fuels,"ATGL, AEGISLOG, BPCL, CASTROLIND, CHENNPETRO, COALINDIA, GAIL, GUJGASLTD, GSPL, HINDPETRO, IOC, IGL, MGL, MRPL, ONGC, OIL, PETRONET, RELIANCE"
Power,"ADANIENSOL, ADANIGREEN, ADANIPOWER, CESC, JSWENERGY, JPPOWER, NHPC, NLCINDIA, NTPC, POWERGRID, SJVN, TATAPOWER, TORNTPOWER"
Realty,"ANANTRAJ, BRIGADE, DLF, GODREJPROP, LODHA, MAHLIFE, OBEROIRLTY, PHOENIXLTD, PRESTIGE, RAYMOND, SIGNATURE, SOBHA, DBREALTY"
Services,"ADANIPORTS, BLUEDART, CONCOR, DELHIVERY, FSL, GMRAIRPORT, GESHIP, GPPL, INDIGO, JSWINFRA, MMTC, QUESS, REDINGTON, SCI, TVSSCS, ECLERX"
Telecommunication,"BHARTIARTL, BHARTIHEXA, HFCL, ITI, INDUSTOWER, RAILTEL, ROUTE, TATACOMM, TTML, TEJASNET, IDEA"
Textiles,"ALOKINDS, KPRMILL, PAGEIND, TRIDENT, VTL, WELSPUNLIV"
